venue,date,time,interested,sold_out,title,desc,url
"Christ Church St Laurence, Sydney",Mon 19 January,10:00am,No,No,Tuned Up!,"Join us for Tuned Up!, a week-long immersive professional learning experience designed to equip primary teachers with the knowledge, tools and confidence to deliver high-quality music education in their classrooms. Tuned Up! is built around direct engagement with the Sydney Symphony Orchestra and aims to foster meaningful connections between teachers and the world of professional music-making.",https://www.sydneysymphony.com/concerts/tuned-up-2026
"Christ Church St Laurence, Sydney",Tue 20 January,10:00am,No,No,Tuned Up!,"Join us for Tuned Up!, a week-long immersive professional learning experience designed to equip primary teachers with the knowledge, tools and confidence to deliver high-quality music education in their classrooms. Tuned Up! is built around direct engagement with the Sydney Symphony Orchestra and aims to foster meaningful connections between teachers and the world of professional music-making.",https://www.sydneysymphony.com/concerts/tuned-up-2026
"Christ Church St Laurence, Sydney",Wed 21 January,10:00am,No,No,Tuned Up!,"Join us for Tuned Up!, a week-long immersive professional learning experience designed to equip primary teachers with the knowledge, tools and confidence to deliver high-quality music education in their classrooms. Tuned Up! is built around direct engagement with the Sydney Symphony Orchestra and aims to foster meaningful connections between teachers and the world of professional music-making.",https://www.sydneysymphony.com/concerts/tuned-up-2026
"Christ Church St Laurence, Sydney",Thu 22 January,10:00am,No,No,Tuned Up!,"Join us for Tuned Up!, a week-long immersive professional learning experience designed to equip primary teachers with the knowledge, tools and confidence to deliver high-quality music education in their classrooms. Tuned Up! is built around direct engagement with the Sydney Symphony Orchestra and aims to foster meaningful connections between teachers and the world of professional music-making.",https://www.sydneysymphony.com/concerts/tuned-up-2026
Hordern Pavilion,Thu 22 January,7:00pm,No,No,Disco Never Dies,"Join us in a boogie wonderland as we play that funky music, in this high-energy celebration of all things sequins, mirrorballs and iconic fashions. Relive the glory days of disco as the biggest hits of this incredible era are brought to life by the full power of the Sydney Symphony Orchestra and some of Australia’s best vocal talent.",https://www.sydneysymphony.com/concerts/disco-never-dies-2026
"Christ Church St Laurence, Sydney",Fri 23 January,10:00am,No,No,Tuned Up!,"Join us for Tuned Up!, a week-long immersive professional learning experience designed to equip primary teachers with the knowledge, tools and confidence to deliver high-quality music education in their classrooms. Tuned Up! is built around direct engagement with the Sydney Symphony Orchestra and aims to foster meaningful connections between teachers and the world of professional music-making.",https://www.sydneysymphony.com/concerts/tuned-up-2026
"Utzon Room, Sydney Opera House",Fri 30 January,6:00pm,No,No,Cocktail Hour with Rosemary Curtin,"Mozart’s music is like Shakespeare’s words: often borrowed and adapted, but never losing its magic. Viola player Rosemary Curtin has chosen a program of Mozart’s work adapted by later composers, the centrepiece an arrangement of his Sinfonia Concertante, K364 for just six instruments. In this lean and spirited version, the joy and brilliance of Mozart’s original shines ever brighter.",https://www.sydneysymphony.com/concerts/cocktail-hour-with-rosemary-curtin
State Theatre,Fri 30 January,7:30pm,No,No,The Whitlams,"The Whitlams first performed with an orchestra in 2004, and over the ensuing 20 years their symphonic show has grown and developed as the band have written and released new albums. Now this quintessential Sydney band reunite with the Sydney Symphony for two unforgettable performances at the State Theatre.",https://www.sydneysymphony.com/concerts/the-whitlams-with-sydney-symphony-orchestra
"Utzon Room, Sydney Opera House",Sat 31 January,6:00pm,No,No,Cocktail Hour with Rosemary Curtin,"Mozart’s music is like Shakespeare’s words: often borrowed and adapted, but never losing its magic. Viola player Rosemary Curtin has chosen a program of Mozart’s work adapted by later composers, the centrepiece an arrangement of his Sinfonia Concertante, K364 for just six instruments. In this lean and spirited version, the joy and brilliance of Mozart’s original shines ever brighter.",https://www.sydneysymphony.com/concerts/cocktail-hour-with-rosemary-curtin
State Theatre,Sat 31 January,7:30pm,No,No,The Whitlams,"The Whitlams first performed with an orchestra in 2004, and over the ensuing 20 years their symphonic show has grown and developed as the band have written and released new albums. Now this quintessential Sydney band reunite with the Sydney Symphony for two unforgettable performances at the State Theatre.",https://www.sydneysymphony.com/concerts/the-whitlams-with-sydney-symphony-orchestra
ICC Sydney Theatre,Sat 07 February,7:00pm,No,No,The Music of John Williams – Episode II,"Led by conductor Nicholas Buc, experience John Williams’ back catalogue like never before, with Art of the Score’s trademark deep dive into these iconic musical moments. Sit in comfort at ICC Sydney Theatre and feel the force of arena-sized sound. Get up close to the Orchestra via state-of-the-art cameras, capturing the performance in crystal-clear high definition and projected on the big screen.",https://www.sydneysymphony.com/concerts/music-of-john-williams-episode-2
Sydney Town Hall,Fri 13 February,12:30pm,No,No,Lunchtime Classics with the Sydney Symphony,"For Friday the 13th we have put together a program of classical music’s most hair-raising, spine-tingling masterpieces. The Sydney Town Hall Organ roars to terrifying life in Bach’s Toccata and Fugue – dark, dramatic and instantly recognisable. And Dukas’ Sorcerer’s Apprentice is musical mischief in motion, tiptoeing winds, glinting glockenspiel and sudden brass jolts.",https://www.sydneysymphony.com/concerts/lunchtime-classics-2026
Sydney Town Hall,Fri 13 February,7:00pm,No,No,Spooky Classics with the Sydney Symphony,"This concert dives into the most iconic and hair-raising orchestral works ever written. Feel the swirling dread of Mussorgsky’s Night on Bald Mountain and recoil from the stabbing strings of Psycho. The tension is palpable in Prokofiev’s Romeo and Juliet and John Williams’ Jaws, and it explodes in the ghoulish frenzy of Berlioz’s Dream of a Witches’ Sabbath.",https://www.sydneysymphony.com/concerts/spooky-classics-2026
Sydney Town Hall,Sat 14 February,10:30am,No,No,Relaxed Classics with the Sydney Symphony,"Experience the magic of a live symphony orchestra performing some of the most beautiful music ever written, in a laid-back concert environment open to all. With the freedom to move around and reduced lighting, this concert is specially designed for those who are after a relaxed approach to the traditional concert experience, including families.",https://www.sydneysymphony.com/concerts/relaxed-classics-2026
Sydney Town Hall,Sat 14 February,7:00pm,No,No,Romantic Classics with the Sydney Symphony,"Some love stories roll through like a storm, rattling windows and soaking the earth. Others glow like embers in a hearth, or stand steadfast as an oak. To honour the many ways love moves us, conductor James Judd will lead the Sydney Symphony in a very special Valentine’s Day concert embracing the most romantic music ever written.",https://www.sydneysymphony.com/concerts/romantic-classics-2026
St James' King St,Sat 21 February,5:00pm,No,No,Meet the Fellows,"Meet our 2026 Fellows at their first public performance, featuring an engaging and eclectic range of music for small ensemble. For almost 25 years, the Sydney Symphony has nurtured the next generation of professional orchestral musicians through a comprehensive, hands-on learning experience.",https://www.sydneysymphony.com/concerts/meet-the-2026-fellows
"Concert Hall, Sydney Opera House",Mon 23 February,7:00pm,No,No,Jean-Yves Thibaudet in Recital,"In a career spanning five decades, French pianist Jean-Yves Thibaudet has earned a reputation as one of the world’s finest musicians. Seamlessly crossing barriers between musical genres and artforms, his performances of jazz, opera and more have led to collaborations in film, fashion and visual art.",https://www.sydneysymphony.com/concerts/jean-yves-thibaudet-recital
"Concert Hall, Sydney Opera House",Wed 25 February,8:00pm,No,No,Simone Young conducts Mahler’s Song of the Earth,"Mahler’s The Song of the Earth ends with an extraordinary fade out, as a contralto sings ‘everywhere, forever...forever and ever.’ It captures beautifully the way music lives around us and in our memory and is the perfect way to open our 2026 Season. Simone Young has opened each of her seasons as Chief Conductor of the Sydney Symphony Orchestra with one of Mahler’s symphonies to rave reviews. We continue this tradition in 2026 with the vast and moving The Song of the Earth, a symphony in all but name, brought to life by world-class vocalists Simon O’Neill and Alexandra Ionis.",https://www.sydneysymphony.com/concerts/simone-young-conducts-mahlers-song-of-the-earth
"Concert Hall, Sydney Opera House",Thu 26 February,1:30pm,No,No,Simone Young conducts Mahler’s Song of the Earth,"Mahler’s The Song of the Earth ends with an extraordinary fade out, as a contralto sings ‘everywhere, forever...forever and ever.’ It captures beautifully the way music lives around us and in our memory and is the perfect way to open our 2026 Season. Simone Young has opened each of her seasons as Chief Conductor of the Sydney Symphony Orchestra with one of Mahler’s symphonies to rave reviews. We continue this tradition in 2026 with the vast and moving The Song of the Earth, a symphony in all but name, brought to life by world-class vocalists Simon O’Neill and Alexandra Ionis.",https://www.sydneysymphony.com/concerts/simone-young-conducts-mahlers-song-of-the-earth
"Concert Hall, Sydney Opera House",Fri 27 February,8:00pm,No,No,Simone Young conducts Mahler’s Song of the Earth,"Mahler’s The Song of the Earth ends with an extraordinary fade out, as a contralto sings ‘everywhere, forever...forever and ever.’ It captures beautifully the way music lives around us and in our memory and is the perfect way to open our 2026 Season. Simone Young has opened each of her seasons as Chief Conductor of the Sydney Symphony Orchestra with one of Mahler’s symphonies to rave reviews. We continue this tradition in 2026 with the vast and moving The Song of the Earth, a symphony in all but name, brought to life by world-class vocalists Simon O’Neill and Alexandra Ionis.",https://www.sydneysymphony.com/concerts/simone-young-conducts-mahlers-song-of-the-earth
"Concert Hall, Sydney Opera House",Sat 28 February,8:00pm,No,No,Simone Young conducts Mahler’s Song of the Earth,"Mahler’s The Song of the Earth ends with an extraordinary fade out, as a contralto sings ‘everywhere, forever...forever and ever.’ It captures beautifully the way music lives around us and in our memory and is the perfect way to open our 2026 Season. Simone Young has opened each of her seasons as Chief Conductor of the Sydney Symphony Orchestra with one of Mahler’s symphonies to rave reviews. We continue this tradition in 2026 with the vast and moving The Song of the Earth, a symphony in all but name, brought to life by world-class vocalists Simon O’Neill and Alexandra Ionis.",https://www.sydneysymphony.com/concerts/simone-young-conducts-mahlers-song-of-the-earth
"Concert Hall, Sydney Opera House",Fri 06 March,11:00am,No,No,Simone Young conducts Britten & Vaughan Williams,"Vaughan Williams’ Sixth Symphony opens in a blaze of energy. Sharp rhythms, bold brass and relentless momentum. Written in the aftermath of the Second World War, it burns with unrest. The final movement dissolves into a ghostlike hush that drifts toward silence and stays with you long after. After acclaimed performances of his Eighth and Third symphonies in recent seasons, Simone Young continues her exploration of these touching works.",https://www.sydneysymphony.com/concerts/simone-young-conducts-britten-vaughan-williams
"Concert Hall, Sydney Opera House",Sat 07 March,7:00pm,No,No,Simone Young conducts Britten & Vaughan Williams,"Vaughan Williams’ Sixth Symphony opens in a blaze of energy. Sharp rhythms, bold brass and relentless momentum. Written in the aftermath of the Second World War, it burns with unrest. The final movement dissolves into a ghostlike hush that drifts toward silence and stays with you long after. After acclaimed performances of his Eighth and Third symphonies in recent seasons, Simone Young continues her exploration of these touching works.",https://www.sydneysymphony.com/concerts/simone-young-conducts-britten-vaughan-williams
"Concert Hall, Sydney Opera House",Tue 10 March,7:00pm,No,No,Listen to This: Discover Tchaikovsky,"Listen to This is an evening of musical discovery like no other, hosted by Conductor in Residence Benjamin Northey. Part performance, part guided tour, this unique event offers a behind-the-scenes look at how Tchaikovsky’s music works.",https://www.sydneysymphony.com/concerts/discover-tchaikovsky
"Concert Hall, Sydney Opera House",Thu 12 March,7:00pm,No,No,Elden Ring Symphonic Adventure,"The fate of the realm is in the hands of the Tarnished. To become Elden Lord, they must travel across the Lands Between, collect the Great Runes and make their way to the Erdtree. Presented in association with Bandai Namco Entertainment Inc. and Overlook Events, this official and immersive concert experience lets you relive major moments of the game via video montages perfectly synchronised with the ground-breaking score by the FromSoftware sound team, accompanied by original lighting design and sound effects.",https://www.sydneysymphony.com/concerts/elden-ring-symphonic-adventure
"Utzon Room, Sydney Opera House",Fri 13 March,6:00pm,No,No,Cocktail Hour with Alexander Morris,"Best known for the stabbing strings of Psycho, Bernard Herrmann’s Souvenirs de Voyage sounds like the soundtrack to an epic romance, full of yearning. Weber’s Quintet is a thrilling showpiece for the clarinet, revelling in the possibilities of the instrument.",https://www.sydneysymphony.com/concerts/cocktail-hour-with-alexander-morris
"Concert Hall, Sydney Opera House",Fri 13 March,7:00pm,No,No,Elden Ring Symphonic Adventure,"The fate of the realm is in the hands of the Tarnished. To become Elden Lord, they must travel across the Lands Between, collect the Great Runes and make their way to the Erdtree. Presented in association with Bandai Namco Entertainment Inc. and Overlook Events, this official and immersive concert experience lets you relive major moments of the game via video montages perfectly synchronised with the ground-breaking score by the FromSoftware sound team, accompanied by original lighting design and sound effects.",https://www.sydneysymphony.com/concerts/elden-ring-symphonic-adventure
"Utzon Room, Sydney Opera House",Sat 14 March,6:00pm,No,No,Cocktail Hour with Alexander Morris,"Best known for the stabbing strings of Psycho, Bernard Herrmann’s Souvenirs de Voyage sounds like the soundtrack to an epic romance, full of yearning. Weber’s Quintet is a thrilling showpiece for the clarinet, revelling in the possibilities of the instrument.",https://www.sydneysymphony.com/concerts/cocktail-hour-with-alexander-morris
"Concert Hall, Sydney Opera House",Sat 14 March,7:00pm,No,No,Elden Ring Symphonic Adventure,"The fate of the realm is in the hands of the Tarnished. To become Elden Lord, they must travel across the Lands Between, collect the Great Runes and make their way to the Erdtree. Presented in association with Bandai Namco Entertainment Inc. and Overlook Events, this official and immersive concert experience lets you relive major moments of the game via video montages perfectly synchronised with the ground-breaking score by the FromSoftware sound team, accompanied by original lighting design and sound effects.",https://www.sydneysymphony.com/concerts/elden-ring-symphonic-adventure
"Concert Hall, Sydney Opera House",Tue 17 March,7:00pm,No,No,Masterclass with Anna Lapwood,"Celebrated for her communication skills as much as her technical brilliance, Lapwood is the ideal person to share her musical insights and put the Sydney Opera House Grand Organ through its paces. Whether you are an aspiring musician yourself, or just want to gain a deeper understanding of the music that you love, this is a rare and exciting opportunity to learn from one of the world’s best.",https://www.sydneysymphony.com/concerts/masterclass-with-anna-lapwood
"Concert Hall, Sydney Opera House",Wed 18 March,11:30am,No,No,Pull Out All The Stops,"The Grand Organ is a force unto itself. 10,244 pipes of thunder and clarity, embedded in the walls of the Sydney Opera House. In this bold program, international sensation Anna Lapwood joins the Sydney Symphony Orchestra to showcase the most epic moments written for organ and orchestra. In Richard Strauss’ blazing Sunrise from Thus Spoke Zarathustra and the triumphant finale of Saint-Saëns’ Organ Symphony her virtuosity proves the extraordinary power of this instrument.",https://www.sydneysymphony.com/concerts/schools-concert-pull-out-all-the-stops
